Frame,License_Plate_Text,Char_X1,Char_Y1,Char_X2,Char_Y2,Char_Label
36,34D11573,1160,268,1193,319,7
36,34D11573,1188,270,1217,319,3
36,0H31768,560,292,601,357,0
36,0H31768,622,289,656,353,H
36,0H31768,651,286,684,350,3
36,0H31768,532,355,577,421,1
36,0H31768,571,355,615,420,7
36,0H31768,617,357,653,416,6
36,0H31768,659,353,693,413,8
37,34D115473,1083,223,1115,278,3
37,34D115473,1107,223,1139,277,4
37,34D115473,1153,222,1185,275,D
37,34D115473,1179,220,1207,273,1
37,34D115473,1063,277,1097,332,1
37,34D115473,1089,272,1128,329,5
37,34D115473,1120,275,1158,327,4
37,34D115473,1161,273,1192,323,7
37,34D115473,1187,273,1216,322,3
37,QH31768,552,296,590,360,Q
37,QH31768,611,292,647,358,H
37,QH31768,640,289,674,353,3
37,QH31768,522,357,569,425,1
37,QH31768,560,356,605,424,7
37,QH31768,606,360,645,420,6
37,QH31768,647,356,684,418,8
37,4,183,282,282,448,4
38,341573,1078,225,1109,278,3
38,341573,1100,224,1135,278,4
38,341573,1178,222,1201,275,1
38,341573,1082,274,1123,328,5
38,341573,1156,274,1188,326,7
38,341573,1183,276,1212,323,3
38,H31768,602,289,637,358,H
38,H31768,632,287,665,355,3
38,H31768,516,361,557,425,1
38,H31768,552,361,595,426,7
38,H31768,599,363,633,423,6
38,H31768,640,359,674,420,8
39,H3768,596,291,633,356,H
39,H3768,625,289,660,353,3
39,H3768,543,359,591,424,7
39,H3768,593,361,628,420,6
39,H3768,634,356,669,417,8
39,34D1573,1076,222,1106,276,3
39,34D1573,1099,222,1133,276,4
39,34D1573,1147,221,1178,274,D
39,34D1573,1174,220,1199,272,1
39,34D1573,1083,271,1122,327,5
39,34D1573,1153,272,1186,324,7
39,34D1573,1182,272,1211,320,3
40,H3768,582,289,626,356,H
40,H3768,612,287,652,353,3
40,H3768,526,350,583,424,7
40,H3768,575,355,621,419,6
40,H3768,615,352,664,416,8
40,37,1064,219,1100,276,3
40,37,1136,264,1181,321,7
41,368,598,286,639,352,3
41,368,558,354,611,419,6
41,368,601,351,651,417,8
41,32,1053,219,1088,276,3
41,32,1157,264,1199,320,2
42,AH368,554,289,597,356,A
42,AH368,556,290,597,356,H
42,AH368,586,286,624,352,3
42,AH368,549,356,594,420,6
42,AH368,593,353,634,417,8
42,3,1043,218,1077,273,3
43,H31768,550,291,585,356,H
43,H31768,578,287,612,353,3
43,H31768,462,356,510,427,1
43,H31768,498,357,544,425,7
43,H31768,545,359,586,421,6
43,H31768,587,355,622,417,8
43,3A4173,1037,215,1070,270,3
43,3A4173,1061,214,1097,269,A
43,3A4173,1061,215,1096,269,4
43,3A4173,1136,211,1162,266,1
43,3A4173,1113,266,1150,319,7
43,3A4173,1144,266,1176,316,3
44,H31768,550,291,585,356,H
44,H31768,578,287,612,353,3
44,H31768,462,356,510,427,1
44,H31768,498,357,544,425,7
44,H31768,545,359,586,421,6
44,H31768,587,355,622,417,8
44,3A4173,1037,215,1070,270,3
44,3A4173,1061,214,1096,269,A
44,3A4173,1061,215,1096,269,4
44,3A4173,1136,211,1162,266,1
44,3A4173,1113,265,1150,319,7
44,3A4173,1144,266,1176,316,3
45,3,1023,225,1060,283,3
45,H31768,535,305,573,373,H
45,H31768,564,301,601,367,3
45,H31768,443,370,495,439,1
45,H31768,481,368,535,439,7
45,H31768,528,373,572,434,6
45,H31768,568,369,614,431,8
46,AH31768,521,309,560,376,A
46,AH31768,524,310,560,375,H
46,AH31768,553,306,587,372,3
46,AH31768,436,374,486,444,1
46,AH31768,473,373,522,442,7
46,AH31768,519,378,560,438,6
46,AH31768,559,374,601,435,8
46,3,1012,229,1048,286,3
47,343,1008,233,1040,288,3
47,343,1032,232,1068,287,4
47,343,1116,282,1146,332,3
47,H3768,517,315,551,380,H
47,H3768,545,312,580,376,3
47,H3768,468,381,515,448,7
47,H3768,513,382,552,443,6
47,H3768,555,379,591,440,8
48,34D173,1006,236,1038,291,3
48,34D173,1031,235,1063,289,4
48,34D173,1078,233,1111,287,D
48,34D173,1104,231,1132,283,1
48,34D173,1087,284,1119,337,7
48,34D173,1114,283,1144,334,3
48,H376B8,513,317,547,383,H
48,H376B8,542,315,576,379,3
48,H376B8,465,384,512,451,7
48,H376B8,510,385,547,446,6
48,H376B8,551,382,586,442,B
48,H376B8,551,383,587,443,8
49,AH3768,503,314,543,382,A
49,AH3768,505,314,542,382,H
49,AH3768,534,311,570,377,3
49,AH3768,456,382,504,450,7
49,AH3768,501,382,544,446,6
49,AH3768,544,380,584,442,8
49,313,1000,235,1034,289,3
49,313,1099,230,1126,283,1
49,313,1107,282,1142,332,3
50,3D13,1000,234,1034,289,3
50,3D13,1071,231,1106,285,D
50,3D13,1099,230,1126,283,1
50,3D13,1107,282,1142,332,3
50,AH3768,504,316,543,383,A
50,AH3768,506,316,542,382,H
50,AH3768,535,313,570,377,3
50,AH3768,456,381,508,451,7
50,AH3768,499,382,545,446,6
50,AH3768,541,381,584,443,8
51,3A41,986,235,1020,288,3
51,3A41,1011,233,1046,286,A
51,3A41,1011,234,1047,286,4
51,3A41,1085,229,1113,283,1
51,H3768,489,319,527,385,H
51,H3768,518,316,556,381,3
51,H3768,438,384,492,454,7
51,H3768,484,385,529,449,6
51,H3768,524,383,568,446,8
52,3A4D17,980,236,1012,288,3
52,3A4D17,1004,234,1039,287,A
